PCP,TMPMX,TMPMN,SOLAR,RH,WIND,DewTmp
0.079,12.453,4.433,11.301,0.869,3.598,
0.034,8.377,2.75,9.624,0.823,3.173,
0,13.13,0.363,12.513,0.821,1.827,
0,13.423,2.015,12.8,0.807,1.894,
0,14.856,3.168,11.703,0.785,1.933,
7.938,10.735,6.4,2.64,0.831,2.632,
22.848,10.623,6.539,3.239,0.943,3.958,
0.62,9.036,7.368,2.124,0.925,1.941,
0.81,11.687,7.646,2.743,0.951,2.056,
0.53,10.879,2.164,9.09,0.825,5.359,
0,7.506,-2.343,11.455,0.635,1.684,
3.704,4.461,1.435,6.526,0.819,2.18,
0.163,3.488,-4.024,12.054,0.732,4.398,
0.003,6.195,-3.66,12.495,0.507,3.479,
6.084,13.577,1.509,11.935,0.832,5.671,
0,7.866,-2.192,13.186,0.7,3.549,
0,15.204,-0.443,12.863,0.77,4.446,
0,16.83,3.405,12.838,0.832,2.541,
2.06,16.991,12.151,2.428,0.94,5.685,
0.282,20.251,14.929,11.394,0.874,6.88,
1.802,18.17,16.87,2.481,0.912,6.593,
54.053,17.323,8.509,3.367,0.925,5.624,
0.632,10.795,5.44,11.424,0.776,7.464,
0,13.973,1.713,13.6,0.739,2.801,
0,16.216,5.904,12.554,0.757,4.556,
2.364,16.646,13.562,3.469,0.908,4.507,
22.21,12.526,3.68,0.988,0.944,4.385,
2.135,10.462,0.941,12.712,0.799,6.167,
0,13.224,1.981,13.341,0.596,2.338,
0,13.294,3.149,13.168,0.719,1.843,
7.244,8.729,2.002,1.997,0.899,3.816,
0.53,9.405,-1.852,13.181,0.834,3.859,
0,12.284,-0.719,14.014,0.756,1.992,
0.107,11.168,5.019,6.521,0.817,3.283,
18.39,13.251,9.57,1.901,0.961,3.467,
2.709,17.24,12.725,13.15,0.847,5.372,
0.088,13.007,7.81,6.212,0.747,5.088,
1.145,8.387,3.698,2.95,0.838,4.54,
0.321,6.632,0.556,9.26,0.808,4.229,
0,14.291,-0.014,14.964,0.787,3.222,
0,18.263,4.64,15.334,0.778,3.276,
0,21.317,8.853,15.365,0.651,3.264,
0,15.784,9.599,15.402,0.667,6.45,
0,13.487,3.334,15.878,0.63,3.701,
0,10.085,5.52,15.867,0.619,4.664,
0,14.255,0.791,15.793,0.656,2.595,
0.096,7.967,5.419,4.509,0.686,4.01,
0,8.423,-0.895,15.699,0.548,2.835,
0.065,9.671,1.518,7.076,0.682,5.072,
0.529,18.708,8.72,14.607,0.797,5.121,
4.118,12.037,2.008,3.999,0.894,5.295,
0.158,6.284,-3.062,15.276,0.717,3.984,
1.246,3.183,-0.226,3.132,0.703,3.773,
3.589,5.578,0.054,1.229,0.943,3.496,
2.701,18.17,6.258,3.191,0.957,5.057,
4.942,13.431,4.785,3.666,0.915,4.417,
0.944,12.616,4.697,12.552,0.809,3.84,
0,16.359,1.151,17.685,0.657,1.811,
0,18.031,6.089,17.269,0.689,2.342,
0,21.026,6.1,17.793,0.69,2.995,
0,20.686,7.122,18.311,0.567,2.867,
0,21.073,9.078,17.171,0.61,3.735,
0.069,21.196,13.788,12.881,0.754,4.312,
0,17.714,8.883,18.09,0.607,4.723,
0,18.187,5.938,15.441,0.595,3.147,
8.734,17.286,11.447,3.732,0.875,4.537,
11.378,22.918,16.808,11.989,0.865,4.837,
4.371,18.439,7.561,3.016,0.894,5.581,
2.117,7.418,3.446,3.341,0.883,4.809,
1.82,5.361,1.758,3.154,0.867,3.35,
3.509,7.548,1.223,9.99,0.879,1.914,
1.208,6.812,3.903,3.325,0.91,3.054,
1.86,12.202,6.81,3.354,0.943,2.821,
1.631,19.619,5.814,2.981,0.945,2.65,
19.017,19.054,0.614,14.86,0.844,7.633,
0,10.509,-3.452,20.81,0.578,5.94,
0,14.68,-0.719,21.076,0.544,2.778,
0,16.678,2.365,20.506,0.67,3.369,
0.161,16.457,7.621,10.575,0.826,4.27,
0.996,19.422,13.441,6.534,0.885,5.42,
30.207,17.242,14.986,1.622,0.941,5.287,
2.08,16.03,11.403,3.982,0.933,2.247,
5.463,16.651,8.806,6.367,0.948,2.642,
2.286,16.586,13.254,6.796,0.912,3.532,
1.564,21.419,11.896,18.008,0.86,2.638,
0.814,25.584,12.064,21.378,0.777,1.598,
0,25.227,13.428,21.672,0.694,3.978,
0,24.194,14.803,21.082,0.683,5.218,
0,26.821,11.455,21.87,0.601,3.336,
0.014,28.099,17.535,20.859,0.769,6.14,
0,28.406,16.116,22.329,0.741,3.917,
0,22.877,15.091,11.715,0.646,4.149,
0.106,26.399,15.054,15.32,0.777,5.259,
3.739,23.231,18.566,5.801,0.849,4.457,
1.662,21.624,7.508,22.076,0.617,3.34,
0.27,16.229,9.847,8.595,0.589,3.469,
1.652,13.725,7.412,6.687,0.771,3.095,
0.003,18.698,6.612,21.422,0.682,3.162,
0.113,17.658,10.346,19.629,0.636,3.064,
0,20.55,5.878,24.019,0.66,1.974,
0,22.808,8.559,24.388,0.582,3.268,
4.552,18.499,8.633,5.167,0.799,3.271,
21.945,16.434,14.03,4.44,0.952,2.677,
0.319,18.129,11.873,10.384,0.823,3.835,
2.966,22.79,12.376,14.005,0.876,1.63,
0,26.355,12.238,23.724,0.802,3.087,
0,26.797,14.586,24.508,0.697,5.65,
0,28.327,16.991,24.18,0.625,6.839,
1.56E+01,24.617,17.798,4.546,0.802,5.711,
40.066,21.529,4.321,20.114,0.712,5.235,
0,22.11,4.548,26.03,0.642,3.018,
0,24.149,7.802,26.366,0.66,1.65,
0,26.003,9.746,26.008,0.617,3.297,
0.591,21.906,14.725,7.38,0.783,4.558,
0.999,26.452,18.271,6.198,0.878,4.202,
0.659,27.497,17.704,11.191,0.774,5.028,
3.821,25.707,17.08,25.718,0.632,4.72,
6.702,22.882,12.556,8.523,0.73,3.411,
5.121,22.72,15.792,8.354,0.842,3.641,
0.014,27.847,11.523,26.001,0.609,3.633,
10.056,24.12,13.389,5.673,0.841,3.646,
13.774,13.895,8.602,7.212,0.885,5.038,
0.007,21.934,3.586,25.556,0.721,1.992,
0,23.394,5.607,27.467,0.708,1.826,
0,26.188,11.909,26.613,0.674,5.18,
4.491,23.532,7.69,24.269,0.775,3.914,
0.034,24.063,12.262,14.124,0.763,2.501,
2.836,28.127,16.796,24.006,0.76,4.587,
6.726,30.068,15.079,20.906,0.847,2.708,
0.079,27.142,17.615,20.356,0.716,4.648,
0,21.212,6.972,21.966,0.724,2.862,
0.553,22.887,11.694,11.354,0.774,3.516,
0.439,25.304,16.015,17.672,0.851,2.416,
1.964,25.501,14.796,16.999,0.797,3.236,
24.692,26.423,17.986,9.803,0.895,4.43,
13.417,25.735,21.228,15.901,0.858,4.714,
33.598,25.063,17.055,21.359,0.787,5.751,
0,28.103,14.616,28.898,0.566,4.965,
0,25.819,15.099,28.465,0.694,2.901,
0,25.041,11.657,26.221,0.774,2.287,
0.12,30.015,15.247,21.418,0.721,3.617,
0.062,33.001,23.133,25.332,0.713,5.741,
0.051,34.082,22.961,27.681,0.741,3.454,
0,33.665,18.61,27.446,0.766,1.887,
0,31.788,21.685,22.2,0.661,4.077,
1.298,31.85,22.815,19.444,0.617,6.036,
0.549,27.204,18.085,27.722,0.661,5.343,
0,24.054,10.373,29.74,0.664,3.043,
0,28.236,10.326,28.973,0.658,2.026,
0,30.277,13.194,28.775,0.586,2.31,
0,31.181,16.212,28.892,0.552,3.101,
0.017,32.819,18.347,27.983,0.601,4.754,
0.024,30.438,20.534,17.261,0.635,3.568,
0.587,32.679,20.272,25.287,0.689,0.945,
0.017,31.897,20.35,24.614,0.68,2.674,
4.508,30.856,21.928,26.389,0.62,5.372,
0.683,32.479,21.82,23.449,0.683,3.641,
8.061,28.87,17.754,21.036,0.803,2.392,
6.163,26.619,19.605,22.682,0.909,2.046,
1.171,31.176,19.081,22.269,0.831,1.472,
14.897,29.201,19.323,25.94,0.791,2.092,
0.357,33.035,19.701,28.819,0.669,2.52,
0,33.788,20.283,28.838,0.655,3.147,
0.161,33.419,19.106,27.92,0.592,2.497,
0,33.68,20.333,26.698,0.611,2.539,
0,35.267,22.075,28.956,0.566,3.836,
0,36.568,22.483,29.066,0.598,4.272,
0,36.855,21.931,28.989,0.595,3.814,
0,36.928,24.849,29.017,0.562,4.785,
6.405,34.56,24.661,28.654,0.669,4.038,
35.22,28.155,15.14,23.572,0.779,4.068,
0,27.096,14.399,30.083,0.664,3.117,
0,30.199,13.861,30.247,0.637,1.773,
0,31.83,15.195,29.655,0.593,2.138,
0,31.717,18.97,29.395,0.556,2.93,
0,32.657,18.501,29.204,0.579,2.267,
0,31.537,19.189,17.772,0.574,2.493,
1.25,28.754,20.103,9.005,0.687,2.119,
0.091,33.988,19.248,14.407,0.595,1.292,
0,36.052,16.441,28.481,0.603,0.941,
0,36.466,18.309,28.01,0.53,1.156,
0.11,37.542,23.852,23.007,0.511,1.386,
0.00E+00,36.014,20.664,22.584,0.589,1.867,
0.034,37.38,20.029,27.582,0.586,1.496,
1.243,33.166,18.708,29.283,0.64,2.942,
0,34.441,17.478,29.441,0.542,1.914,
0.282,35.66,20.94,24.93,0.495,1.877,
66.702,35.504,20.606,23.684,0.788,2.578,
6.092,34.942,22.457,24.039,0.726,2.019,
8.856,30.124,18.956,27.598,0.777,1.952,
2.791,30.883,18.919,26.353,0.776,2.656,
0.041,33.44,20.615,25.76,0.604,2.249,
0.257,37.084,24.521,27.717,0.588,5.22,
0.463,35.718,25.026,27.723,0.547,6.957,
5.545,38.071,24.024,26.293,0.601,3.834,
0.00E+00,37.796,22.639,27.834,0.567,2.443,
0.034,38.53,22.56,27.036,0.536,1.915,
0,37.778,23.265,28.944,0.459,2.437,
0,39.368,25.048,28.994,0.427,3.118,
0,41.546,22.028,28.851,0.406,1.802,
0,43.133,25.192,28.527,0.395,1.756,
0,40.357,25.454,28.156,0.429,2.074,
0.103,37.412,24.496,24.97,0.524,2.912,
3.847,36.532,23.814,12.514,0.692,2.76,
10.705,31.857,21.698,25.977,0.732,2.109,
13.156,31.595,23.192,23.678,0.825,1.725,
14.385,32.028,22.81,25.585,0.806,1.582,
13.736,31.244,23.138,21.941,0.823,1.363,
28.413,30.428,23.641,18.078,0.872,1.394,
2.606,29.974,25.127,6.164,0.783,2.15,
0.014,39.043,25.101,25.422,0.543,3.328,
0,39.462,26.644,24.426,0.442,4.399,
0.838,38.271,24.938,23.727,0.495,4.322,
0,38.808,25.736,27.825,0.404,4.207,
0.031,39.354,27.266,27.492,0.416,3.757,
0.185,40.311,26.683,26.588,0.492,3.429,
1.682,41.996,26.642,26.132,0.509,3.999,
0.103,45.295,27.164,27.525,0.377,2.937,
2.031,41.34,26.184,20.05,0.462,3.069,
0.453,35.224,23.485,20.572,0.612,3.613,
15.611,31.717,23.484,6.496,0.823,4.17,
28.472,28.977,23.351,8.536,0.914,4.544,
9.568,33.015,23.272,19.204,0.802,4.432,
1.039,38.328,22.06,25.711,0.643,1.561,
1.784,37.053,23.298,16.994,0.657,1.712,
2.596,35.363,23.162,23.361,0.632,2.335,
6.995,36.116,23.625,22.651,0.691,2.661,
2.32,36.579,24.447,25.251,0.666,3.183,
2.194,36.365,24.534,24.975,0.656,3.696,
0.022,38.307,22.015,26.936,0.401,3.017,
0,38.614,22.445,24.847,0.43,2.076,
0.158,37.258,24.068,20.541,0.564,2.238,
0.455,38.044,23.888,23.618,0.595,2.403,
0.041,37.116,25.052,19.376,0.517,2.526,
0.58,34.503,25.606,10.003,0.61,2.909,
6.923,34.105,23.356,24.103,0.695,3.347,
1.36,38.475,23.812,25.642,0.548,2.85,
0,38.852,24.825,25.204,0.423,2.675,
0.00E+00,39.523,24.51,21.571,0.416,2.268,
1.547,37.45,24.645,10.305,0.544,1.98,
6.525,43.461,24.304,16.184,0.63,1.399,
3.624,39.917,24.523,23.166,0.567,2.1,
0,36.766,25.676,14.918,0.451,3.067,
0,37.758,25.052,23.43,0.435,3.128,
0,38.85,22.718,17.785,0.359,2.063,
0.778,38.739,23.626,11.624,0.501,1.509,
0.436,39.658,22.556,11.346,0.506,0.894,
0.696,41.446,23.535,15.801,0.471,1.515,
3.099,41.409,27.886,10.43,0.455,1.854,
0,40.13,24.35,18.753,0.439,1.974,
0.204,36.799,23.674,11.358,0.513,1.796,
2.995,37.845,24.484,14.074,0.585,1.744,
0.566,40.928,22.518,10.599,0.529,0.931,
0.072,39.182,23.696,22.344,0.469,1.915,
0,39.781,24.917,22.612,0.38,2.593,
0,38.571,27.669,17.836,0.319,3.346,
0.093,37.442,25.486,20.762,0.404,3.703,
0.331,35.768,22.961,16.937,0.493,2.957,
2.544,36.673,22.511,14.538,0.585,3.037,
11.591,31.798,18.778,19.029,0.727,2.341,
0,33.128,19.466,21.126,0.453,2.533,
0,32.289,19.258,20.097,0.452,2.206,
0,34.433,19.044,18.812,0.518,1.65,
23.803,28.757,22.264,3.252,0.78,1.919,
10.101,31.051,19.94,16.413,0.843,1.191,
5.658,31.763,21.239,20.213,0.717,1.314,
8.865,29.394,21.578,17.773,0.799,1.869,
4.147,36.624,23.651,18.157,0.737,3.085,
29.574,32.61,24.3,13.346,0.789,1.452,
2.307,32.446,19.445,18.452,0.791,1.75,
22.618,29.032,23.24,10.273,0.802,2.547,
30.206,27.886,17.875,14.124,0.855,2.622,
1.236,23.752,15.147,8.431,0.867,2.85,
3.457,16.884,8.063,7.532,0.719,5.663,
0,24.124,7.384,20.978,0.46,2.05,
0,25.572,10.891,21.586,0.446,2.155,
1.02,19.507,13.919,6.811,0.645,2.15,
0.045,26.761,9.506,19.56,0.766,1.367,
0.316,31.892,15.012,18.469,0.67,2.125,
0,34.136,20.173,20.229,0.64,3.475,
0,33.778,20.749,20.393,0.556,3.571,
0,33.833,22.413,16.35,0.581,4.252,
5.888,33.954,18.869,19.487,0.663,2,
14.804,28.953,21.127,16.801,0.854,1.706,
1.109,27.286,15.272,17.89,0.694,4.228,
0,29.963,13.286,20.417,0.534,2.115,
0,26.079,16.066,20.538,0.472,3.679,
0,22.377,12.995,20.462,0.394,4.164,
0,26.971,6.882,20.328,0.548,1.375,
0,27.962,11.007,19.847,0.487,2.578,
0,31.298,15.538,19.172,0.517,2.703,
0,29.513,16.45,10.42,0.515,2.25,
0,33.046,17.009,18.061,0.478,2.33,
0,32.402,16.236,19.25,0.445,2.329,
0,35.161,16.269,18.125,0.453,1.477,
0,24.1,13.31,19.538,0.286,4.743,
0,29.792,8.094,19.274,0.302,1.635,
0,31.901,13.246,18.852,0.28,2.377,
0,29.456,14.762,18.652,0.339,3.541,
0,29.677,13.737,18.375,0.46,2.713,
0,31.2,16.689,17.763,0.6,3.437,
0,25.997,10.825,18.733,0.262,5.375,
0,27.245,9.017,18.441,0.242,3.252,
0,29.291,16.469,17.201,0.46,6.801,
0.515,25.486,19.862,10.163,0.563,6.259,
0,22.801,8.08,17.783,0.27,3.002,
0.584,24.282,10.797,7.613,0.326,2.521,
0.481,28.843,17.304,4.616,0.619,4.993,
3.325,27.569,22.558,14.758,0.537,5.835,
0,24.237,11.683,17.08,0.255,3.023,
0,24.016,12.056,14.235,0.298,3.671,
2.683,18.34,11.806,5.016,0.611,3.507,
1.12,19.902,11.854,4.848,0.896,2.613,
9.04,23.874,17.321,4.191,0.9,4.16,
0.534,22.076,13.131,12.162,0.785,4.979,
0.017,11.432,2.985,15.455,0.458,5.641,
0,13.538,1.968,11.017,0.39,2.869,
0.572,10.852,8.353,2.163,0.548,2.577,
1.2,19.717,9.186,7.625,0.846,4.73,
0.058,20.889,16.448,14.321,0.656,6.423,
0,18.146,6.773,15.459,0.475,3.234,
0,21.727,9.496,12.463,0.542,5.399,
2.671,26.24,19.26,3.728,0.771,7.872,
0.014,25.612,1.758,14.928,0.45,6.702,
0,18.24,0.8,15.302,0.343,3.761,
0,20.86,6.901,14.401,0.447,3.867,
0,18.888,5.335,14.673,0.597,2.944,
0,21.22,8.549,13.797,0.451,3.866,
0,17.88,3.838,14.379,0.665,2.69,
0,17.843,6.588,8.503,0.622,2.51,
0.00E+00,23.607,8.264,13.473,0.739,1.249,
0,24.575,9.755,13.654,0.66,2.173,
1.897,18.339,14.16,3.723,0.876,1.753,
0.918,19.826,9.26,12.833,0.601,2.949,
0.443,18.883,9.743,4.179,0.581,4.39,
0.074,19.784,10.526,9.839,0.596,5.519,
0,19.028,3.295,13.549,0.385,2.588,
0,22.35,9.292,13.691,0.432,4.656,
0,23.203,12.49,13.347,0.57,6.702,
0.021,20.265,12.934,12.93,0.604,7.767,
0.014,11.233,2.635,12.264,0.437,5.294,
0,14.826,-2.609,13.232,0.497,1.476,
0,19.312,4.22,13.347,0.441,3.362,
0.588,17.454,9.717,3.385,0.697,4.629,
1.896,21.965,16.45,2.909,0.835,5.414,
0.014,22.919,15.319,11.878,0.726,5.284,
0.069,18.387,13.081,4.196,0.586,4.196,
0.065,20.068,11.857,9.776,0.82,3.915,
1.864,15.796,10.277,2.473,0.722,4.064,
0.115,11.848,2.479,11.546,0.578,4.207,
13.478,10.091,6.748,1.966,0.71,3.102,
0.223,8.688,-6.354,11.984,0.492,7.291,
0,5.975,-6.41,13.125,0.235,2.761,
0,10.459,-1.885,11.967,0.48,4.53,
3.389,14.379,7.483,1.992,0.908,5.12,
3.129,19.326,14.461,2.328,0.89,7.486,
0.397,19.591,17.21,4.084,0.844,6.727,
6.458,23.192,16.548,8.142,0.88,4.31,
2.862,16.569,11.842,4.073,0.897,4.409,
13.175,14.449,11.119,1.575,0.942,3.986,
9.026,14.627,7.536,1.909,0.93,3.921,
0.453,6.827,3.249,4.029,0.752,7.845,
0.415,3.733,0.97,6.828,0.753,3.92,
8.62E-01,4.137,-2.678,4.057,0.789,2.058,
1.1,7.205,0.745,6.281,0.775,1.979,
0.424,4.718,-0.575,10.856,0.684,3.84,
0,9.82,-3.452,12.463,0.707,2.01,
0.079,4.256,0.536,7.266,0.775,3.602,
0.069,11.174,-2.562,11.209,0.764,2.465,
0,10.222,2.73,12.067,0.768,3.596,
0.034,7.828,0.182,12.586,0.714,3.21,
0.00E+00,8.867,-3.041,12.785,0.692,3.19,
5.51,9.949,4.389,4.49,0.744,3.687,
1.032,16.332,8.208,10.92,0.854,3.317,
9.517,12.016,6.676,1.154,0.918,3.91,
4.57,5.698,1.271,4.253,0.88,7.831,
0.306,4.775,-0.863,10.23,0.799,4.414,
0,14.304,1.026,12.596,0.639,5.496,
0.917,7.435,2.399,2.872,0.853,4.286,
1.164,2.278,-2.383,5.73,0.83,6.31,
0.089,0.238,-8.132,12.934,0.532,6.513,
0,6.245,-10.06,13.399,0.566,2.927,
0,11.391,-0.033,13.187,0.513,4.431,
0.027,16.778,2.455,12.88,0.782,3.148,
0.556,14.644,9.096,13.258,0.7,7.06,
0,16.834,4.719,13.297,0.569,3.526,
0,21.843,7.133,13.484,0.533,3.124,
0,21.404,10.62,13.506,0.444,5.616,
1.974,15.952,13.501,2.442,0.886,2.374,
0.819,17.045,7.619,5.986,0.881,4.528,
0.695,21.8,16.005,9.205,0.766,8.95,
15.927,19.345,-5.126,12.983,0.641,9.976,
0,3.942,-7.036,14.381,0.305,3.567,
0.93,4.92,-3.056,3.098,0.691,4.087,
0.467,10.293,3.12,8.169,0.915,2.377,
2.935,14.071,4.99,1.901,0.941,4.542,
16.334,17.848,7.236,0.635,0.921,6.64,
1.054,12.974,-2.393,13.457,0.596,2.223,
0,15.388,3.043,14.823,0.525,5.309,
1.72,15.77,5.812,14.337,0.671,7.935,
0,8.899,-4.299,15.344,0.382,2.876,
0.021,9.47,-0.323,8.319,0.49,5.084,
1.207,13.426,7.211,6.781,0.846,3.912,
1.404,9.38,-0.438,2.084,0.902,3.166,
0.113,0.203,-6.561,9.246,0.588,5.01,
0.206,1.557,-3.926,6.037,0.58,2.533,
8.985,0.473,-4.956,6.599,0.76,5.489,
0.1,-1.074,-7.857,12.524,0.623,4.435,
0,-0.83,-12.822,16.19,0.586,3.396,
0.06,7.768,-8.691,12.475,0.574,4.955,
1.222,10.057,2.608,4.276,0.942,3.258,
3.401,15.016,8.511,2.286,0.915,6.508,
1.045,20.247,13.56,3.199,0.846,6.282,
0.561,17.973,12.453,3.049,0.885,3.132,
0.053,22.683,12.81,11.446,0.837,3.919,
1.621,18.739,6.437,16.466,0.447,6.663,
0,15.692,2.928,16.845,0.327,3.515,
0,21.693,4.721,17.062,0.321,3.899,
0,25.988,11.926,16.712,0.332,5.452,
0,20.565,9.759,17.012,0.429,5.925,
0,11.218,-2.752,18.064,0.344,5.665,
0,17.211,-2.241,17.829,0.281,3.866,
0,22.327,2.801,15.925,0.524,4.063,
0.965,24.026,13.983,17.486,0.586,6.617,
0,29.747,12.042,16.935,0.356,4.083,
0,33.049,13.955,16.878,0.381,3.384,
0,33.975,18.209,16.139,0.27,3.547,
0,30.041,18.226,17.715,0.355,6.736,
0,23.232,8.097,18.693,0.198,4.316,
0.058,27.821,13.079,16.765,0.56,4.774,
0.167,28.056,17.754,10.509,0.678,6.105,
1.962,25.661,18.269,3.664,0.69,4.66,
0.043,17.795,2.078,12.505,0.325,7.011,
0.045,6.408,0.703,7.941,0.291,4.968,
0.007,12.831,-1.53,18.133,0.396,1.825,
0,19.716,2.969,20.022,0.298,2.86,
0,22.249,4.599,20.28,0.32,3.521,
0.048,22.368,9.672,10.962,0.592,5.752,
1.725,28.532,18.019,14.477,0.68,8.271,
0.208,23.607,11.818,14.912,0.681,7.084,
0.017,10.026,-4.31,20.502,0.405,8.545,
0,3.173,-6.67,21.423,0.252,5.4,
0,8.762,-7.558,18.956,0.213,2.197,
0,14.674,-2.232,21.163,0.239,2.957,
0,17.356,1.407,20.99,0.307,3.64,
0,21.531,5.2,20.94,0.425,5.115,
0.687,22.12,13.689,9.095,0.703,6.23,
0.884,21.927,12.75,4.183,0.757,6.149,
0.048,21.339,12.792,11.476,0.673,4.726,
0,26.278,7.215,20.393,0.526,2.259,
3.093,28.203,11.85,19.86,0.47,2.285,
8.808,21.501,5.63,5.943,0.771,5.611,
0.23,13.593,4.706,18.71,0.502,5.579,
0,12.266,0.374,22.958,0.357,5.216,
0,19.518,-1.205,23.224,0.338,2.079,
0,25.145,5.887,21.922,0.4,2.906,
0,25.289,12.887,21.989,0.492,5.917,
4.17,22.581,16.391,4.143,0.743,7.258,
0.611,19.03,0.64,21.308,0.471,5.955,
0.225,11.107,0.63,13.63,0.363,5.111,
2.685,9.525,4.433,4.475,0.72,3.54,
21.832,16.433,4.167,15.822,0.848,2.265,
0,23.685,5.317,22.567,0.723,2.844,
0.661,26.986,13.492,20.246,0.595,4.88,
0.024,21.663,7.095,21.868,0.593,6.35,
0,21.604,4.146,24.963,0.48,3.169,
0,24.739,6.538,25.124,0.324,3.636,
0,26.767,11.163,23.718,0.442,5.03,
2.448,24.292,10.614,6.563,0.725,3.834,
24.074,17.894,4.095,2.021,0.803,5.647,
14.85,15.124,1.251,22.913,0.721,3.916,
0,20.985,-0.062,25.575,0.499,2.946,
0,22.74,7.762,25.3,0.475,3.523,
0,25.185,11.529,22.903,0.517,3.275,
0,25.661,7.494,25.356,0.537,3.753,
0.287,28.846,14.964,20.826,0.638,5.297,
1.763,25.652,17.114,7.464,0.718,5.25,
1.154,29.037,10.246,23.327,0.748,2.702,
0.082,28.986,18.16,24.769,0.506,5.35,
0,21.151,6.616,26.857,0.415,5.873,
0,25.383,3.719,27.17,0.445,2.661,
0,27.501,9.557,26,0.443,4.987,
0.632,32.71,17.307,19.702,0.62,6.068,
0.069,33.509,17.366,23.138,0.549,5.389,
0.045,31.539,15.415,24.671,0.273,3.926,
0.439,33.639,12.247,20.745,0.556,4.063,
10.404,30.649,13.264,7.547,0.716,6.266,
1.634,23.437,6.295,24.904,0.708,3.353,
0,28.789,8.634,27.596,0.38,3.789,
0,32.915,15.232,27.198,0.386,7.067,
0,29.861,9.822,27.779,0.314,3.621,
0,32.131,13.635,27.21,0.349,4.497,
0.072,34.258,21.432,23.518,0.504,7.151,
3.353,24.189,8.852,20.242,0.661,5.308,
0,25.807,2.414,28.446,0.454,3.315,
0,29.002,9.819,28.073,0.377,4.29,
0.455,29.047,16.008,12.385,0.73,3.498,
0.11,33.546,16.766,23.133,0.629,4.835,
0,35.453,18.451,27.742,0.421,5.792,
0,35.198,18.579,27.121,0.453,4.908,
0.584,33.256,21.265,9.468,0.615,4.189,
0.831,34.17,19.136,22.402,0.646,4.204,
0,34.062,19.46,26.456,0.516,5.199,
0,33.754,19.714,25.914,0.533,5.124,
0,33.416,21.015,20.532,0.541,4.783,
1.957,31.697,16.955,21.238,0.668,3.327,
0,30.838,13.852,28.24,0.566,2.629,
10.763,28.908,15.976,14.548,0.776,3.114,
0.706,34.495,18.6,26.242,0.662,5.28,
0,36.098,21.739,26.326,0.497,6.358,
0,36.528,20.813,28.453,0.507,5.595,
0,36.638,20.665,28.768,0.463,5.953,
0,36.457,21.62,28.928,0.441,5.785,
0,35.741,20.83,29.084,0.435,5.885,
0,36.458,21.853,28.697,0.475,6.251,
0,38.507,22.141,28.29,0.471,3.525,
0.142,37.507,23.026,27.988,0.467,3.063,
0,38.961,23.052,28.97,0.39,5.299,
0,38.138,21.907,28.781,0.418,5.204,
0,36.771,21.665,28.876,0.472,4.361,
0,34.465,24.559,20.539,0.505,5.445,
2.946,37.999,23.077,22.245,0.561,5.922,
1.258,38.712,26.074,23.588,0.512,3.638,
1.188,37.362,20.013,25.974,0.565,2.294,
1.931,34.375,20.347,26.41,0.668,3.326,
0,32.704,23.634,14.458,0.516,3.975,
9.101,31.103,20.719,19.274,0.776,3.587,
2.546,33.84,21.462,27.384,0.686,1.615,
0,35.728,20.486,29.511,0.366,1.921,
0.688,33.824,18.274,22.685,0.468,2.398,
0,37.666,20.815,27.803,0.547,4.145,
0.041,35.429,23.326,22.976,0.469,4.915,
11.278,34.495,19.352,25.725,0.578,3.832,
0,28.284,16.689,28.831,0.485,4.182,
0,30.848,12.525,29.88,0.525,2.505,
0.034,34.719,16.286,15.517,0.533,2.351,
3.931,36.465,20.093,22.944,0.618,2.761,
0.57,37.67,22.482,25.456,0.5,3.374,
6.065,36.766,21.771,13.555,0.589,2.5,
3.176,40.262,21.436,19.857,0.697,2.287,
7.292,35.464,22.42,26.446,0.74,1.87,
9.865,41,23.29,20.402,0.722,2.285,
0,38.076,25.437,17.856,0.57,2.735,
6.424,41.336,21.83,23.516,0.63,2.377,
1.31,44.22,24.747,26.368,0.474,2.821,
0.553,39.2,22.762,28.767,0.529,3.173,
0,38.063,21.69,29.339,0.472,2.828,
0,36.897,23.5,14.752,0.532,2.993,
0,37.015,23.526,22.374,0.587,3.538,
0.893,35.062,22.255,27.259,0.621,3.56,
14.078,31.991,22.977,26.802,0.856,2.053,
4.716,36.187,23.512,20.936,0.79,2.504,
0.051,38.973,23.606,27.494,0.518,2.519,
1.289,37.131,24.081,19.362,0.558,2.584,
0,34.487,21.27,16.168,0.565,2.089,
0,37.847,23.513,18.792,0.48,1.848,
0,38.563,23.488,25.925,0.412,2.455,
0.00E+00,41.873,25.452,26.242,0.373,2.751,
0.041,43.727,25.242,16.664,0.356,1.679,
2.517,40,25.753,20.314,0.416,2.167,
0.031,41.294,27.973,24.514,0.383,3.436,
0,43.294,27.165,28.897,0.305,3.786,
0,42.429,28.408,23.191,0.323,3.602,
0.501,40.993,25.983,8.789,0.506,3.325,
0.9,35.081,23.878,14.805,0.628,2.143,
4.388,29.16,21.391,8.087,0.861,3.352,
36.924,31.212,19.21,10.862,0.876,3.242,
5.569,34.094,22.793,17.144,0.785,2.671,
12.099,33.076,22.711,13.277,0.833,1.676,
14.241,32.454,22.18,8.033,0.859,2.893,
7.738,34.274,20.298,25.362,0.775,1.457,
69.925,31.593,23.339,6.764,0.886,3.119,
0.566,37.355,24.1,25.351,0.606,3.983,
